segment,epsilon,DBCV
1,0.0,0.3106657670181297
1,1.0,0.7782946224298404
1,2.0,0.7932865518059392
1,3.0,0.7731957976620654
1,4.0,0.7667616198757634
1,5.0,0.7081011768029141
1,6.0,0.6325603971106561
1,7.0,0.5785016819209694
1,8.0,0.5301853097345994
1,9.0,0.4872593187235355
1,10.0,0.4200590800861991
1,11.0,0.3171476320294912
1,12.0,0.2244182786792805
1,13.0,0.1799074635427046
1,14.0,0.1414189007235476
1,15.0,0.1218159665869625
1,16.0,0.0795987596586686
1,17.0,0.0816004392784735
1,18.0,0.0646572728112649
1,19.0,0.0653443178772834
1,20.0,0.1014953598281296
1,21.0,0.1014953598281296
1,22.0,0.0592595446291839
1,23.0,0.0467429573375063
1,24.0,0.1069209318290005
1,25.0,0.1069209318290005
1,1.0,0.7782946224298404
1,1.1,0.7844509943794118
1,1.2,0.7810194785320993
1,1.3,0.7871105408205729
1,1.4,0.7954161588100055
1,1.5,0.7964478377898008
1,1.6,0.788766578142188
1,1.7,0.7874903284350347
1,1.8,0.7723378018956726
1,1.9,0.7637281613945615
1,2.0,0.7932865518059392
1,2.1,0.7932865518059392
1,2.2,0.7925697719821734
1,2.3,0.7925697719821734
1,2.4,0.7937029938382505
1,2.5,0.8007122884146396
1,2.6,0.7876576942375024
1,2.7,0.7735520566838447
1,2.8,0.7735520566838447
1,2.9,0.7731957976620654
1,3.0,0.7731957976620654
2,0.0,0.3100225151077644
2,1.0,0.7449392827377717
2,2.0,0.8084897088336
2,3.0,0.7627958931064889
2,4.0,0.7428055360705814
2,5.0,0.6888746406103305
2,6.0,0.6628943579685316
2,7.0,0.5830481265612724
2,8.0,0.501249140236476
2,9.0,0.4307340393825145
2,10.0,0.3825221797763488
2,11.0,0.2997876789166911
2,12.0,0.2473512034167108
2,13.0,0.1997923336079947
2,14.0,0.1717527030897622
2,15.0,0.162045841200639
2,16.0,0.1083436837832676
2,17.0,0.0674135302537107
2,18.0,0.0483323775652071
2,19.0,0.0596774244242505
2,20.0,0.1161920134582993
2,21.0,0.1161920134582993
