strain,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
1,0,0,10,24,186,220,217,11
1,0,0,10,24,186,220,217,296
1,0,0,245,217,125,38,101,242
15,0,3,85,2,98,101,23,38
1,0,3,85,2,98,101,64,38
3,0,7,245,149,186,32,208,98
1,0,11,97,46,118,30,175,38
3,0,11,97,46,118,30,175,242
1,0,16,4,8,30,12,23,11
1,0,16,4,8,30,12,23,26
1,0,16,4,8,30,12,23,38
142,0,16,4,8,30,12,23,74
1,0,16,4,8,30,12,23,123
1,0,16,4,8,30,12,23,175
14,0,16,4,8,30,12,23,242
1,0,16,4,8,30,12,23,296
1,0,16,4,8,30,12,59,11
1,0,16,4,8,30,12,59,74
1,0,16,4,8,30,21,23,74
3,0,16,4,8,30,43,23,74
1,0,16,4,8,30,43,23,242
1,0,16,4,8,30,49,23,74
6,0,16,4,8,30,166,23,74
1,0,16,4,8,30,166,23,242
135,0,16,4,20,30,12,23,11
1,0,16,4,20,30,12,23,74
1,0,16,4,20,30,12,23,87
3,0,16,4,20,30,12,23,242
9,0,16,4,20,30,148,23,11
1,0,16,51,20,30,49,23,11
1,0,16,67,23,123,166,23,73
1,0,16,122,8,30,49,23,38
8,0,16,122,8,30,49,23,87
15,0,43,122,8,30,49,23,87
1,0,43,174,8,30,49,23,26
1,0,44,31,96,48,28,101,14
1,0,44,31,96,48,28,101,74
3,0,47,51,8,30,49,23,74
1,0,49,85,2,98,101,64,73
1,0,51,30,24,186,213,217,242
1,0,51,67,23,123,49,23,25
7,0,51,67,23,123,49,23,73
1,0,51,67,23,123,49,23,242
1,0,60,4,8,30,12,23,10
5,0,60,4,8,30,12,23,74
6,0,60,4,20,30,12,23,11
2,0,71,133,85,26,121,13,130
1,0,71,133,185,26,11,13,123
1,0,71,133,185,26,121,13,147
2,0,126,59,241,8,195,15,116
15,0,126,174,228,19,195,15,26
1,0,126,174,228,19,195,15,242
5,0,126,174,228,150,195,15,26
1,0,150,10,24,186,213,217,242
1,0,163,10,24,186,219,169,171
4,0,163,10,24,186,219,169,242
1,0,180,245,218,107,31,155,242
1,0,189,245,90,110,32,163,25
4,0,191,48,8,130,49,87,183
1,0,191,48,223,161,15,87,123
3,0,191,59,223,130,200,87,120
1,0,191,59,223,130,200,87,242
1,0,194,36,218,125,208,194,11
1,0,207,245,134,177,120,164,300
1,1,5,6,31,183,122,137,23
12,1,5,6,31,183,122,137,302
1,1,5,6,31,183,169,137,23
1,1,5,6,31,183,169,137,302
2,1,5,6,31,200,122,137,23
5,1,5,6,31,200,122,137,302
1,1,5,6,31,200,122,170,302
6,1,5,6,31,200,169,137,302
1,1,5,6,31,200,169,170,302
1,1,5,6,31,200,184,137,302
1,1,5,6,31,200,245,137,302
4,1,5,6,31,238,67,137,302
1,1,5,6,31,238,69,137,302
8,1,5,6,31,238,122,137,23
39,1,5,6,31,238,122,137,302
1,1,5,6,31,238,122,170,302
6,1,5,6,31,238,122,211,302
1,1,5,6,31,238,122,224,302
1,1,5,6,31,238,122,276,302
3,1,5,6,31,238,169,137,302
1,1,5,6,31,238,169,170,23
1,1,5,6,31,238,169,170,302
1,1,5,6,31,238,245,137,302
1,1,5,6,87,183,122,137,302
1,1,5,6,114,238,122,137,23
1,1,5,207,31,238,67,137,302
1,1,5,208,31,200,122,170,23
1,1,5,208,31,200,169,137,23
1,1,5,208,31,200,169,170,23
1,1,5,208,31,200,184,137,23
1,1,5,208,31,200,245,137,302
3,1,5,208,31,238,67,276,23
1,1,5,208,31,238,169,137,23
2,1,5,208,31,238,169,170,23
1,1,5,208,31,238,184,137,23
1,1,5,275,31,200,69,170,23
1,1,117,6,31,183,122,137,302
1,1,117,6,31,183,122,211,302
1,1,117,6,31,200,122,137,23
1,1,117,6,31,200,157,170,23
1,1,117,6,68,200,245,255,31
1,1,118,149,40,183,157,255,167
1,1,118,208,31,200,245,170,23
1,1,118,275,131,208,67,19,306
1,1,130,6,40,183,133,284,167
1,1,130,6,190,79,87,255,177
1,1,130,207,40,183,133,284,167
1,1,134,6,57,279,157,255,203
1,1,134,6,68,9,245,255,31
1,1,134,50,68,183,245,255,31
1,1,134,102,92,200,133,255,316
1,1,134,102,92,279,163,255,167
1,1,134,141,136,208,146,199,306
22,1,134,207,93,274,133,255,302
1,1,134,208,189,208,146,255,167
1,1,134,228,64,208,245,255,203
1,1,134,275,63,280,87,231,203
1,2,3,85,2,98,101,23,38
1,2,16,4,20,30,148,23,11
1,2,45,49,85,6,121,94,70
24,2,45,49,85,6,121,94,72
2,2,45,49,85,6,121,94,130
1,2,45,49,85,6,121,94,147
2,2,45,49,85,6,121,214,72
2,2,71,133,85,26,121,13,147
1,2,71,133,185,26,121,13,147
1,2,163,10,24,186,219,217,242
1,2,205,49,85,6,121,93,72
7,2,205,49,85,6,121,94,72
24,3,28,52,186,164,131,17,15
8,3,29,52,186,164,44,17,15
1,3,29,52,186,164,131,17,15
13,3,29,110,186,164,44,17,16
1,3,29,113,100,8,195,31,15
19,3,29,113,100,164,44,17,15
5,3,29,113,100,164,44,17,16
8,3,29,113,186,164,44,17,15
1,3,29,113,186,164,44,17,16
1,3,29,113,186,164,44,34,16
17,3,29,116,186,164,44,17,16
2,4,37,2,169,1,0,76,140
2,4,41,37,84,207,1,76,140
5,4,41,37,86,207,1,76,140
2,4,41,39,84,1,1,76,140
1,4,41,46,223,27,200,76,120
1,4,41,46,223,27,200,76,140
1,4,41,46,223,27,200,89,120
1,4,41,46,223,27,200,89,140
1,4,41,46,223,27,233,76,120
1,4,41,46,223,27,233,76,140
1,4,41,46,223,27,233,89,120
1,4,41,46,223,27,233,89,140
1,4,41,46,223,207,200,76,120
1,4,41,46,223,207,200,76,140
1,4,41,46,223,207,200,89,120
1,4,41,46,223,207,200,89,140
1,4,41,46,223,207,233,76,120
1,4,41,46,223,207,233,76,140
1,4,41,46,223,207,233,89,120
1,4,41,46,223,207,233,89,140
1,4,41,46,250,27,200,76,120
1,4,41,46,250,27,200,76,140
1,4,41,46,250,27,200,89,120
1,4,41,46,250,27,200,89,140
1,4,41,46,250,27,233,76,120
1,4,41,46,250,27,233,76,140
1,4,41,46,250,27,233,89,120
1,4,41,46,250,27,233,89,140
1,4,41,46,250,207,200,76,120
1,4,41,46,250,207,200,76,140
1,4,41,46,250,207,200,89,120
1,4,41,46,250,207,200,89,140
1,4,41,46,250,207,233,76,120
22,4,41,46,250,207,233,76,140
1,4,41,46,250,207,233,89,120
1,4,41,46,250,207,233,89,140
1,4,41,46,250,207,233,188,140
1,4,41,59,223,27,200,76,120
1,4,41,59,223,27,200,76,140
1,4,41,59,223,27,200,89,120
1,4,41,59,223,27,200,89,140
1,4,41,59,223,27,233,76,120
1,4,41,59,223,27,233,76,140
1,4,41,59,223,27,233,89,120
1,4,41,59,223,27,233,89,140
1,4,41,59,223,207,200,76,120
1,4,41,59,223,207,200,76,140
1,4,41,59,223,207,200,89,120
1,4,41,59,223,207,200,89,140
1,4,41,59,223,207,233,76,120
1,4,41,59,223,207,233,76,140
1,4,41,59,223,207,233,89,120
1,4,41,59,223,207,233,89,140
1,4,41,59,250,27,200,76,120
1,4,41,59,250,27,200,76,140
1,4,41,59,250,27,200,89,120
1,4,41,59,250,27,200,89,140
1,4,41,59,250,27,233,76,120
1,4,41,59,250,27,233,76,140
1,4,41,59,250,27,233,89,120
1,4,41,59,250,27,233,89,140
1,4,41,59,250,207,200,76,120
1,4,41,59,250,207,200,76,140
1,4,41,59,250,207,200,89,120
1,4,41,59,250,207,200,89,140
1,4,41,59,250,207,233,76,120
1,4,41,59,250,207,233,76,140
1,4,41,59,250,207,233,89,120
1,4,41,59,250,207,233,89,140
1,4,191,46,223,27,200,76,120
1,4,191,46,223,27,200,76,140
1,4,191,46,223,27,200,89,120
1,4,191,46,223,27,200,89,140
1,4,191,46,223,27,233,76,120
1,4,191,46,223,27,233,76,140
1,4,191,46,223,27,233,89,120
1,4,191,46,223,27,233,89,140
1,4,191,46,223,207,200,76,120
1,4,191,46,223,207,200,76,140
1,4,191,46,223,207,200,89,120
1,4,191,46,223,207,200,89,140
1,4,191,46,223,207,233,76,120
1,4,191,46,223,207,233,76,140
1,4,191,46,223,207,233,89,120
1,4,191,46,223,207,233,89,140
1,4,191,46,250,27,200,76,120
1,4,191,46,250,27,200,76,140
1,4,191,46,250,27,200,89,120
1,4,191,46,250,27,200,89,140
1,4,191,46,250,27,233,76,120
1,4,191,46,250,27,233,76,140
1,4,191,46,250,27,233,89,120
1,4,191,46,250,27,233,89,140
1,4,191,46,250,207,200,76,120
1,4,191,46,250,207,200,76,140
1,4,191,46,250,207,200,89,120
1,4,191,46,250,207,200,89,140
1,4,191,46,250,207,233,76,120
1,4,191,46,250,207,233,76,140
1,4,191,46,250,207,233,89,120
1,4,191,46,250,207,233,89,140
1,4,191,59,223,27,200,76,120
1,4,191,59,223,27,200,76,140
1,4,191,59,223,27,200,89,120
1,4,191,59,223,27,200,89,140
1,4,191,59,223,27,233,76,120
1,4,191,59,223,27,233,76,140
1,4,191,59,223,27,233,89,120
1,4,191,59,223,27,233,89,140
1,4,191,59,223,207,200,76,120
1,4,191,59,223,207,200,76,140
1,4,191,59,223,207,200,89,120
1,4,191,59,223,207,200,89,140
1,4,191,59,223,207,233,76,120
1,4,191,59,223,207,233,76,140
1,4,191,59,223,207,233,89,120
1,4,191,59,223,207,233,89,140
1,4,191,59,250,27,200,76,120
1,4,191,59,250,27,200,76,140
1,4,191,59,250,27,200,89,120
1,4,191,59,250,27,200,89,140
1,4,191,59,250,27,233,76,120
1,4,191,59,250,27,233,76,140
1,4,191,59,250,27,233,89,120
1,4,191,59,250,27,233,89,140
1,4,191,59,250,207,200,76,120
1,4,191,59,250,207,200,76,140
1,4,191,59,250,207,200,89,120
1,4,191,59,250,207,200,89,140
1,4,191,59,250,207,233,76,120
1,4,191,59,250,207,233,76,140
1,4,191,59,250,207,233,89,120
1,4,191,59,250,207,233,89,140
23,5,37,39,3,1,0,94,70
3,5,37,39,3,1,0,94,93
2,5,37,39,3,1,15,94,70
1,5,37,39,3,158,0,94,70
6,5,37,39,84,1,0,94,70
11,5,37,39,185,1,0,94,70
1,5,41,8,84,1,15,94,70
3,5,41,8,84,6,11,94,70
10,5,41,8,86,6,1,94,70
1,5,41,8,86,6,1,94,108
1,5,41,8,86,6,1,94,126
1,5,41,8,86,6,11,93,70
21,5,41,8,86,6,11,94,70
1,5,41,8,86,6,11,94,93
1,5,41,8,86,6,11,94,137
1,5,41,8,86,26,1,94,70
3,5,41,8,86,26,11,94,70
1,5,41,8,86,26,11,94,145
1,5,41,8,86,133,11,94,70
1,5,41,8,86,153,11,214,70
1,5,41,37,84,6,1,93,70
41,5,41,37,84,6,1,94,70
1,5,41,37,84,6,1,94,72
4,5,41,37,84,6,11,94,70
3,5,41,37,86,1,1,94,70
2,5,41,37,86,6,0,94,70
2,5,41,37,86,6,1,93,70
247,5,41,37,86,6,1,94,70
1,5,41,37,86,6,1,94,72
9,5,41,37,86,6,1,94,93
2,5,41,37,86,6,1,94,145
1,5,41,37,86,6,1,94,148
15,5,41,37,86,6,11,94,70
1,5,41,37,86,6,11,94,72
2,5,41,37,86,6,233,94,70
13,5,41,37,86,133,1,94,70
3,5,41,37,86,133,11,94,70
2,5,41,37,86,207,1,76,140
2,5,41,37,250,6,233,94,70
1,5,41,39,84,1,0,76,140
49,5,41,39,84,1,0,94,70
1,5,41,39,84,1,0,94,126
1,5,41,39,84,1,0,94,148
13,5,41,39,84,1,1,94,70
2,5,41,39,84,1,15,94,70
1,5,41,39,84,6,1,94,70
2,5,41,39,86,6,0,94,70
1,5,41,106,86,6,1,94,70
1,5,41,154,86,1,235,94,88
1,5,53,37,84,6,11,94,70
5,5,53,37,84,6,13,94,70
3,5,54,106,82,26,152,94,70
1,5,54,106,82,148,1,94,70
13,5,54,106,82,148,152,94,70
7,5,89,42,250,6,233,94,70
2,5,191,8,86,6,11,94,70
1,5,191,8,86,6,11,94,137
1,5,201,8,86,6,1,214,70
1,5,201,8,86,6,11,214,70
8,5,201,37,86,6,1,94,70
1,6,139,107,7,138,156,92,61
29,6,139,130,7,138,156,92,61
1,6,139,130,7,138,226,92,61
1,6,139,130,25,138,156,92,61
1,6,139,130,25,138,226,92,61
2,6,139,212,7,138,156,92,61
3,7,21,3,103,3,104,47,21
12,7,21,3,103,90,104,47,21
13,7,21,3,103,90,115,47,283
2,8,13,13,124,10,6,6,264
3,8,13,79,128,127,62,150,264
6,8,153,20,128,10,6,3,246
1,8,159,76,124,10,6,6,76
1,8,159,76,124,10,6,6,95
1,8,159,76,124,10,6,6,264
1,8,159,76,124,10,6,110,76
1,8,159,76,124,10,6,110,95
1,8,159,76,124,10,6,110,264
1,8,159,76,124,10,6,282,76
1,8,159,76,124,10,6,282,95
1,8,159,76,124,10,6,282,264
1,8,159,76,124,10,51,6,76
1,8,159,76,124,10,51,6,95
1,8,159,76,124,10,51,6,264
1,8,159,76,124,10,51,110,76
1,8,159,76,124,10,51,110,95
1,8,159,76,124,10,51,110,264
1,8,159,76,124,10,51,282,76
1,8,159,76,124,10,51,282,95
1,8,159,76,124,10,51,282,264
1,8,159,76,124,99,6,6,76
1,8,159,76,124,99,6,6,95
1,8,159,76,124,99,6,6,264
1,8,159,76,124,99,6,110,76
1,8,159,76,124,99,6,110,95
1,8,159,76,124,99,6,110,264
1,8,159,76,124,99,6,282,76
1,8,159,76,124,99,6,282,95
1,8,159,76,124,99,6,282,264
1,8,159,76,124,99,51,6,76
1,8,159,76,124,99,51,6,95
1,8,159,76,124,99,51,6,264
2,8,159,76,124,99,51,110,76
2,8,159,76,124,99,51,110,95
1,8,159,76,124,99,51,110,264
2,8,159,76,124,99,51,282,76
2,8,159,76,124,99,51,282,95
1,8,159,76,124,99,51,282,264
1,8,159,76,124,223,6,6,76
1,8,159,76,124,223,6,6,95
1,8,159,76,124,223,6,6,264
1,8,159,76,124,223,6,110,76
1,8,159,76,124,223,6,110,95
1,8,159,76,124,223,6,110,264
1,8,159,76,124,223,6,282,76
1,8,159,76,124,223,6,282,95
1,8,159,76,124,223,6,282,264
1,8,159,76,124,223,51,6,76
1,8,159,76,124,223,51,6,95
1,8,159,76,124,223,51,6,264
2,8,159,76,124,223,51,110,76
2,8,159,76,124,223,51,110,95
1,8,159,76,124,223,51,110,264
2,8,159,76,124,223,51,282,76
2,8,159,76,124,223,51,282,95
1,8,159,76,124,223,51,282,264
1,8,159,76,252,228,137,154,246
1,8,159,79,97,294,252,6,264
1,8,159,79,124,10,6,6,76
1,8,159,79,124,10,6,6,95
1,8,159,79,124,10,6,6,264
1,8,159,79,124,10,6,110,76
1,8,159,79,124,10,6,110,95
1,8,159,79,124,10,6,110,264
1,8,159,79,124,10,6,282,76
1,8,159,79,124,10,6,282,95
1,8,159,79,124,10,6,282,264
1,8,159,79,124,10,51,6,76
1,8,159,79,124,10,51,6,95
1,8,159,79,124,10,51,6,264
1,8,159,79,124,10,51,110,76
1,8,159,79,124,10,51,110,95
1,8,159,79,124,10,51,110,264
1,8,159,79,124,10,51,282,76
1,8,159,79,124,10,51,282,95
1,8,159,79,124,10,51,282,264
1,8,159,79,124,99,6,6,76
1,8,159,79,124,99,6,6,95
1,8,159,79,124,99,6,6,264
1,8,159,79,124,99,6,110,76
1,8,159,79,124,99,6,110,95
1,8,159,79,124,99,6,110,264
1,8,159,79,124,99,6,282,76
1,8,159,79,124,99,6,282,95
1,8,159,79,124,99,6,282,264
1,8,159,79,124,99,51,6,76
1,8,159,79,124,99,51,6,95
1,8,159,79,124,99,51,6,264
2,8,159,79,124,99,51,110,76
2,8,159,79,124,99,51,110,95
1,8,159,79,124,99,51,110,264
2,8,159,79,124,99,51,282,76
2,8,159,79,124,99,51,282,95
1,8,159,79,124,99,51,282,264
1,8,159,79,124,223,6,6,76
1,8,159,79,124,223,6,6,95
1,8,159,79,124,223,6,6,264
1,8,159,79,124,223,6,110,76
1,8,159,79,124,223,6,110,95
1,8,159,79,124,223,6,110,264
1,8,159,79,124,223,6,282,76
1,8,159,79,124,223,6,282,95
1,8,159,79,124,223,6,282,264
1,8,159,79,124,223,51,6,76
1,8,159,79,124,223,51,6,95
1,8,159,79,124,223,51,6,264
5,8,159,79,124,223,51,44,91
2,8,159,79,124,223,51,110,76
2,8,159,79,124,223,51,110,95
1,8,159,79,124,223,51,110,264
2,8,159,79,124,223,51,282,76
4,8,159,79,124,223,51,282,95
1,8,159,79,124,223,51,282,264
1,8,159,79,124,223,61,6,264
1,8,159,79,128,127,62,150,264
9,8,159,79,128,127,244,2,264
1,8,159,79,252,127,137,150,264
1,8,178,76,124,10,6,6,76
1,8,178,76,124,10,6,6,95
1,8,178,76,124,10,6,6,264
1,8,178,76,124,10,6,110,76
1,8,178,76,124,10,6,110,95
1,8,178,76,124,10,6,110,264
1,8,178,76,124,10,6,282,76
1,8,178,76,124,10,6,282,95
1,8,178,76,124,10,6,282,264
1,8,178,76,124,10,51,6,76
1,8,178,76,124,10,51,6,95
1,8,178,76,124,10,51,6,264
1,8,178,76,124,10,51,110,76
1,8,178,76,124,10,51,110,95
1,8,178,76,124,10,51,110,264
1,8,178,76,124,10,51,282,76
1,8,178,76,124,10,51,282,95
1,8,178,76,124,10,51,282,264
1,8,178,76,124,99,6,6,76
1,8,178,76,124,99,6,6,95
1,8,178,76,124,99,6,6,264
1,8,178,76,124,99,6,110,76
1,8,178,76,124,99,6,110,95
1,8,178,76,124,99,6,110,264
1,8,178,76,124,99,6,282,76
1,8,178,76,124,99,6,282,95
1,8,178,76,124,99,6,282,264
1,8,178,76,124,99,51,6,76
1,8,178,76,124,99,51,6,95
1,8,178,76,124,99,51,6,264
2,8,178,76,124,99,51,110,76
2,8,178,76,124,99,51,110,95
1,8,178,76,124,99,51,110,264
2,8,178,76,124,99,51,282,76
2,8,178,76,124,99,51,282,95
1,8,178,76,124,99,51,282,264
1,8,178,76,124,223,6,6,76
1,8,178,76,124,223,6,6,95
1,8,178,76,124,223,6,6,264
1,8,178,76,124,223,6,110,76
1,8,178,76,124,223,6,110,95
1,8,178,76,124,223,6,110,264
1,8,178,76,124,223,6,282,76
1,8,178,76,124,223,6,282,95
1,8,178,76,124,223,6,282,264
1,8,178,76,124,223,51,6,76
1,8,178,76,124,223,51,6,95
1,8,178,76,124,223,51,6,264
2,8,178,76,124,223,51,110,76
2,8,178,76,124,223,51,110,95
1,8,178,76,124,223,51,110,264
2,8,178,76,124,223,51,282,76
2,8,178,76,124,223,51,282,95
1,8,178,76,124,223,51,282,264
1,8,178,79,124,10,6,6,76
1,8,178,79,124,10,6,6,95
1,8,178,79,124,10,6,6,264
1,8,178,79,124,10,6,110,76
1,8,178,79,124,10,6,110,95
1,8,178,79,124,10,6,110,264
1,8,178,79,124,10,6,282,76
1,8,178,79,124,10,6,282,95
1,8,178,79,124,10,6,282,264
1,8,178,79,124,10,51,6,76
1,8,178,79,124,10,51,6,95
1,8,178,79,124,10,51,6,264
1,8,178,79,124,10,51,110,76
1,8,178,79,124,10,51,110,95
1,8,178,79,124,10,51,110,264
1,8,178,79,124,10,51,282,76
1,8,178,79,124,10,51,282,95
1,8,178,79,124,10,51,282,264
1,8,178,79,124,99,6,6,76
1,8,178,79,124,99,6,6,95
1,8,178,79,124,99,6,6,264
1,8,178,79,124,99,6,110,76
1,8,178,79,124,99,6,110,95
1,8,178,79,124,99,6,110,264
1,8,178,79,124,99,6,282,76
1,8,178,79,124,99,6,282,95
1,8,178,79,124,99,6,282,264
1,8,178,79,124,99,51,6,76
1,8,178,79,124,99,51,6,95
1,8,178,79,124,99,51,6,264
2,8,178,79,124,99,51,110,76
2,8,178,79,124,99,51,110,95
1,8,178,79,124,99,51,110,264
2,8,178,79,124,99,51,282,76
2,8,178,79,124,99,51,282,95
1,8,178,79,124,99,51,282,264
1,8,178,79,124,223,6,6,76
1,8,178,79,124,223,6,6,95
1,8,178,79,124,223,6,6,264
1,8,178,79,124,223,6,110,76
1,8,178,79,124,223,6,110,95
1,8,178,79,124,223,6,110,264
1,8,178,79,124,223,6,282,76
1,8,178,79,124,223,6,282,95
1,8,178,79,124,223,6,282,264
1,8,178,79,124,223,51,6,76
1,8,178,79,124,223,51,6,95
1,8,178,79,124,223,51,6,264
2,8,178,79,124,223,51,110,76
2,8,178,79,124,223,51,110,95
1,8,178,79,124,223,51,110,264
2,8,178,79,124,223,51,282,76
3,8,178,79,124,223,51,282,95
1,8,178,79,124,223,51,282,264
11,9,50,7,9,116,205,11,108
1,10,34,65,69,55,90,36,21
2,10,158,65,69,55,90,36,21
73,10,158,114,69,55,90,36,21
7,10,158,114,69,55,90,232,21
2,11,152,155,194,84,137,297,168
40,11,152,155,245,84,137,244,168
175,11,152,155,245,84,137,297,168
36,12,93,36,70,44,208,149,45
1,12,93,126,70,44,208,149,45
1,13,0,140,196,125,32,29,242
1,13,0,245,218,125,32,194,242
2,13,49,163,23,129,101,23,73
1,13,71,133,77,76,235,94,139
3,13,71,133,185,26,11,13,123
3,13,71,133,185,76,15,13,123
7,13,72,245,217,125,46,101,242
1,13,75,245,172,50,28,101,242
1,13,75,245,217,125,46,101,242
1,13,104,252,61,108,201,195,64
7,14,214,79,124,140,61,44,91
1,14,214,79,124,140,61,110,76
1,15,57,208,57,275,67,224,307
1,15,57,208,93,278,163,255,203
5,15,57,208,131,187,163,255,306
1,15,57,228,50,275,122,224,203
1,15,57,228,190,278,84,255,218
1,15,57,228,190,278,147,255,218
1,15,57,228,190,279,84,255,218
1,15,57,228,190,279,147,255,218
4,15,57,254,136,13,84,224,189
1,15,57,275,190,208,216,255,307
1,15,102,275,131,286,163,224,307
1,15,103,23,136,208,84,255,31
1,15,103,132,57,278,122,99,307
1,15,103,207,188,279,68,245,218
1,15,103,208,114,278,84,133,31
3,15,103,228,59,187,184,255,306
1,15,103,251,50,278,122,99,218
12,15,115,254,114,279,245,222,311
1,15,115,254,188,279,69,222,311
1,15,115,254,188,279,84,222,311
1,15,116,23,93,293,163,255,218
1,15,116,102,68,200,245,255,31
1,15,116,196,40,286,69,224,218
1,15,116,196,40,286,84,224,218
1,15,116,207,68,208,245,224,31
1,15,116,207,188,208,87,255,203
1,15,116,208,50,79,122,255,167
1,15,116,208,57,293,163,255,167
6,15,116,208,68,273,245,236,306
1,15,116,208,68,286,245,255,218
1,15,116,208,93,275,163,255,218
1,15,116,208,114,273,245,255,306
1,15,116,228,68,280,157,255,31
5,15,116,228,68,280,245,224,31
1,15,116,228,188,273,147,255,218
1,15,116,251,50,293,87,99,307
1,15,116,251,50,293,122,99,307
1,15,116,251,50,293,184,99,307
2,15,116,254,57,187,157,255,203
1,15,116,254,68,293,245,222,305
1,15,116,254,188,208,84,255,218
1,15,116,254,190,208,67,199,218
1,15,116,254,190,208,87,284,218
1,15,116,275,190,293,68,224,306
1,15,117,6,63,208,24,255,167
1,15,117,23,183,187,87,199,306
1,15,117,23,183,208,84,255,203
1,15,117,50,188,200,216,199,31
1,15,117,50,188,200,216,199,167
1,15,117,102,87,183,216,284,31
1,15,117,102,131,275,157,255,316
1,15,117,102,188,149,245,79,167
3,15,117,102,188,183,245,79,167
1,15,117,141,188,208,87,255,203
1,15,117,141,190,208,87,255,203
7,15,117,149,190,273,216,255,31
1,15,117,181,93,293,183,255,218
1,15,117,207,68,208,245,224,31
1,15,117,207,188,187,68,255,203
1,15,117,207,188,275,147,236,218
1,15,117,207,188,279,68,255,31
2,15,117,208,40,208,122,255,218
1,15,117,208,68,208,245,255,189
1,15,117,208,114,183,133,79,227
1,15,117,208,114,183,245,79,160
1,15,117,208,188,183,245,79,167
2,15,117,208,188,183,245,79,177
1,15,117,208,188,286,216,284,167
2,15,117,208,190,183,216,255,31
1,15,117,208,190,286,147,255,218
1,15,117,228,114,208,84,255,218
1,15,117,228,190,273,87,255,203
2,15,117,254,40,208,67,255,286
1,15,117,254,40,208,133,255,286
14,15,117,254,40,208,157,255,286
1,15,117,254,59,187,67,255,218
1,15,117,275,188,200,216,199,31
1,15,117,275,188,200,216,199,167
1,15,117,275,190,273,216,255,31
1,15,117,275,190,274,216,255,302
1,15,118,23,68,293,245,255,203
1,15,118,102,131,276,163,275,250
8,15,118,182,66,147,84,228,311
1,15,118,196,57,286,157,255,303
1,15,118,196,87,275,68,255,218
1,15,118,196,188,293,87,222,307
2,15,118,196,190,275,157,224,307
2,15,118,196,190,275,245,224,307
1,15,118,196,227,293,87,222,307
1,15,118,207,40,280,163,255,218
1,15,118,207,57,275,157,255,306
1,15,118,207,93,208,133,255,306
1,15,118,207,93,208,163,255,306
1,15,118,207,93,280,163,255,218
3,15,118,207,93,293,163,255,306
1,15,118,207,114,274,67,255,306
1,15,118,207,136,275,245,255,203
1,15,118,207,188,293,87,222,307
1,15,118,207,227,293,87,222,307
2,15,118,208,40,209,133,255,218
1,15,118,208,40,286,133,255,218
1,15,118,208,50,208,122,254,218
1,15,118,208,50,279,122,236,218
3,15,118,208,57,293,67,255,218
1,15,118,208,93,275,163,255,218
2,15,118,208,93,275,163,255,314
1,15,118,208,93,275,184,255,218
1,15,118,208,93,280,163,255,306
1,15,118,208,93,286,163,254,218
1,15,118,208,114,208,157,254,311
1,15,118,208,114,275,245,133,306
1,15,118,208,131,275,87,236,203
1,15,118,208,131,275,163,236,203
1,15,118,208,183,275,69,224,31
1,15,118,208,188,279,68,245,218
1,15,118,208,188,286,163,236,218
1,15,118,208,188,293,87,224,314
1,15,118,208,190,275,87,255,218
1,15,118,208,190,279,87,255,218
1,15,118,208,242,273,175,317,255
1,15,118,223,66,146,84,171,253
1,15,118,227,93,278,163,255,218
1,15,118,228,40,286,133,236,218
2,15,118,228,40,286,133,255,218
1,15,118,228,57,273,157,255,218
1,15,118,228,57,286,157,199,31
1,15,118,228,57,286,157,199,218
1,15,118,228,57,286,245,199,31
1,15,118,228,57,286,245,199,218
1,15,118,228,93,208,163,255,306
1,15,118,228,93,275,245,255,203
1,15,118,228,93,293,163,236,311
1,15,118,228,93,293,163,255,306
1,15,118,228,114,280,69,255,203
1,15,118,228,114,286,157,199,31
1,15,118,228,114,286,157,199,218
1,15,118,228,114,286,245,199,31
1,15,118,228,114,286,245,199,218
1,15,118,228,188,293,87,222,307
1,15,118,228,227,293,87,222,307
1,15,118,251,68,286,147,199,31
1,15,118,251,68,286,147,199,311
1,15,118,251,68,286,245,199,31
1,15,118,251,68,286,245,199,311
1,15,118,251,114,286,67,133,307
1,15,118,251,190,275,87,199,311
1,15,118,251,190,286,147,199,31
1,15,118,251,190,286,147,199,311
1,15,118,251,190,286,245,199,31
1,15,118,251,190,286,245,199,311
1,15,118,254,93,286,133,255,218
1,15,118,254,190,275,84,245,218
5,15,118,275,93,187,163,255,307
1,15,118,275,190,273,67,255,218
4,15,125,196,59,286,184,255,218
1,15,125,208,40,293,133,224,218
1,15,125,228,40,279,133,255,203
1,15,125,258,190,279,68,255,203
3,15,134,6,92,273,163,284,167
4,15,134,23,40,286,245,146,273
1,15,134,23,136,273,84,199,305
1,15,134,102,50,208,122,255,302
1,15,134,102,188,149,69,79,177
1,15,134,102,189,208,163,255,311
1,15,134,102,190,208,163,255,311
1,15,134,149,114,286,68,255,306
2,15,134,196,68,279,245,255,306
3,15,134,208,93,208,163,199,306
1,15,134,208,188,149,245,79,227
4,15,134,208,188,279,68,245,218
2,15,134,208,188,286,68,255,218
1,15,134,208,188,286,87,255,218
2,15,134,208,190,183,147,284,31
1,15,134,208,190,208,216,255,167
2,15,134,208,190,279,68,245,218
1,15,134,208,190,279,147,245,218
1,15,134,208,190,286,68,255,218
1,15,134,208,190,286,68,255,307
1,15,134,228,114,275,67,255,306
1,15,134,228,188,286,68,255,218
