Dim,Expl_Variance
10,0.58683967590332
20,0.686615109443665
30,0.739214837551117
40,0.770944595336914
50,0.792527854442596
60,0.808549642562866
70,0.82077294588089
80,0.830768346786499
90,0.839085280895233
100,0.846370100975037
