,cluster,supercluster,subtype
0,175,0,H1
1,124,1,H1
2,112,2,H1
3,93,3,H1
4,92,3,H1
5,90,3,H1
6,77,4,H1
7,144,5,H1
8,161,5,H1
9,160,5,H1
10,156,5,H1
11,153,5,H1
12,152,5,H1
13,151,5,H1
14,147,5,H1
15,143,5,H1
16,142,5,H1
17,137,5,H1
18,292,6,H1
19,291,6,H1
