segment,cluster,size
4,184,2752
4,261,1612
6,179,1536
6,253,1389
4,62,1197
6,99,1161
6,98,1105
6,64,929
6,77,920
4,103,910
6,30,884
4,221,777
4,107,766
6,14,765
4,136,750
6,255,749
4,237,747
4,21,740
6,181,711
4,16,692
