segment,n_cluster,n_cluster_raw,n_cluster_norm,unclustered,H_unmatch,N_unmatch,epsilon,explained_var
1,255,255,0.5090180360721442,0,103,107,0.06415481178198155,0.8589081764221191
2,222,222,0.44288577154308617,0,88,89,0.066044630955604,0.8488631248474121
3,268,268,0.5350701402805611,0,92,94,0.05481691295177911,0.8646213412284851
4,266,266,0.531062124248497,0,2,104,0.04274385317994358,0.8463819026947021
5,309,309,0.6172344689378757,0,94,95,0.056423979125137996,0.8819647431373596
6,271,271,0.5410821643286573,0,90,4,0.03470041328581598,0.855462908744812
7,437,437,0.87374749498998,0,100,112,0.09337827612837092,0.903182864189148
8,360,360,0.7194388777555111,0,111,111,0.0889819142701804,0.8994523286819458
