accession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
>CY021716,0.0016314128,0.003584195,0.00065739866,-0.001996529,0.0039022276,0.007656599,0.00083076983,5.319544e-05,-0.0011361358,-3.7306458e-05,0.00032802025,0.0013531204,-0.0011242937,-0.0009851787,-0.0005029879,0.002507678,-0.00084675173,-0.0010205401,-0.00015926003,-0.0014224935,0.001501786,0.00019484124,-0.0002227366,-0.0009682452,-0.0013630345,0.0007472557,-0.0015711705,-0.00054598093,0.0035658681,-0.00056442694,0.0019373095,-0.00025459932,-0.0008927194,0.0004587807,-0.00014766211,-0.0015326213,-4.077381e-05,0.0031845788,0.0012950151,0.0005592575,-0.0008297935,0.0010174835,0.0028426838,-0.0003824831,0.0005254926,0.00024124746,0.0008552714,-0.0016367756,-0.0004761473,0.0006936912,0.00091502,0.0013317592,0.0007758437,2.2284835e-06,5.4007025e-05,-0.0007093046,0.00071397034,0.0006245889,0.00019217649,-0.00015025795,0.0011657585,0.0006212162,-0.00033005196,0.0023872752,0.00072089746,-9.7351745e-05,0.0014731878,-0.0005181116,0.00090052123,-0.00092027744,0.00044732922,0.0005762928,-0.00043195733,-0.000937279,-0.00025811375,-0.0005118325,0.000621959,-0.00030986094,0.00058664574,-0.0010693189,0.00024568356,0.001021117,4.6889927e-06,-8.857153e-05,0.00075225404,2.2512233e-06,0.0002622222,0.00014968535,0.0003518377,-0.00033738677,0.00014131125,0.00070650247,0.00037406324,-0.0013693165,0.000112945214,-0.00027502785,-7.232269e-05,0.00025521443,-1.8461637e-05,-0.00036217977
>CY020292,0.0010806152,0.003322033,0.00043295787,-0.0019658913,0.0034670904,0.0074196616,0.00080500427,-6.500071e-05,-0.0008928752,0.0001645349,0.00012214785,0.0018149198,-0.0007746368,-0.0010987223,-0.00012112818,0.0030584252,-0.00083459215,-0.0012090834,-0.00046040743,-0.0014652086,0.0014754962,-3.921796e-05,-3.6648207e-06,-0.00129123,-0.0010074339,0.00043290333,-0.0018349789,-0.00014687347,0.0034640166,-0.00035545853,0.0021128051,-0.0001977207,-0.0016313058,0.00042196328,-0.00044617074,-0.001507562,-6.079914e-05,0.0027759476,0.0017669211,0.00043721485,-0.00057604996,0.0011026277,0.0030245588,-0.00062510476,0.0008366595,-0.0002350962,0.00059762504,-0.0016739866,-0.00045675304,0.0007686133,0.0008228497,0.0013986616,0.0009429961,-0.00036897225,7.78722e-05,-0.0010813826,0.00045237964,0.0006595725,6.024755e-05,-1.6330698e-05,0.0012215055,0.001100378,-0.00054158905,0.0026620508,0.0008223977,-2.4897698e-05,0.0019704264,-0.0012699675,0.0010101943,-0.0012506515,0.00043612818,0.0003711572,0.00014251306,-0.000705698,-0.00033455042,-0.00051577255,0.000116889016,-0.0004681426,0.00027735764,-0.00087497965,-9.522976e-05,0.0013822536,9.945021e-06,-7.196202e-06,0.00040369967,-0.000107571024,-8.5786785e-05,-0.0001834582,0.00034593767,2.8078134e-06,-0.00016900102,0.00020851115,0.00027484298,-0.0012877685,0.00021437375,0.00025786328,-0.0002752178,0.00033255864,0.0006073965,5.788088e-05
>CY083917,-0.011548367,-0.0067523355,-0.0011804211,0.000813023,-0.0006244604,-0.00034449296,0.0052453135,0.0004484404,-0.0007774639,0.00020445384,0.00016293526,-0.00022824903,-0.00024688465,-0.00016447605,-0.00015200162,9.155115e-05,-0.00016684337,-0.00033567482,3.0711853e-05,-8.8797744e-05,4.5557066e-05,5.6032015e-05,-5.1070816e-05,-6.055387e-05,0.00019948889,-0.00033517176,-0.00042769688,-0.00012877457,0.00025124056,0.00038485372,-0.0005236902,-0.00041410225,0.00011571077,0.00017407732,0.0006355533,-0.0002339354,-0.00031458872,-0.00012338345,-0.00028977022,-2.619783e-05,8.09576e-05,0.00015939886,-1.7912542e-05,1.7971512e-05,4.845453e-05,-0.00026416985,-0.00018012313,-6.427083e-05,0.00013030747,0.00019008144,-0.0002301169,3.7325877e-05,-0.00035105945,0.00016509421,-0.00015519845,-1.0157588e-05,-0.0003458246,4.461834e-05,-6.823295e-05,0.000104265215,4.2417178e-05,6.0754395e-05,-0.0002067491,-3.756763e-05,7.7921106e-07,5.1582036e-05,-3.598193e-05,-0.00011383771,0.0001614755,8.537674e-05,-2.6597478e-05,3.6400274e-05,-1.258238e-05,-0.00024266874,-0.00016801976,-7.078029e-05,3.300371e-05,6.2946594e-05,7.7764314e-05,0.0002484159,5.632276e-05,-0.00012938929,-6.6783514e-06,-3.925703e-05,-0.00027174928,0.00026113525,8.890889e-05,6.160462e-05,-0.00022376014,-0.00019167655,1.3055677e-05,-0.00011340884,0.00033178795,8.088669e-05,0.00019862047,-3.2609194e-05,-9.394877e-05,-7.243461e-05,-2.7538512e-05,0.00017524288
>CY063613,-0.0112739215,-0.006668146,-0.0012376164,0.0009132242,-0.0007384401,-0.00033476594,0.005486059,0.00043685967,-0.000900271,0.0001428973,-0.00018534034,-0.0003762221,-3.4690307e-05,-3.452071e-05,8.790572e-06,9.534826e-05,-0.00010622255,-0.0002717247,0.00012655849,-0.00015319943,-0.00024767016,-7.866744e-05,0.00031129018,4.1058305e-05,-0.000112334754,-0.00069588644,-0.00033019177,5.8988476e-06,-4.2053307e-05,-0.00014985565,-5.6838494e-06,0.00010385717,-0.00013146992,5.6291436e-05,4.3499993e-05,-6.134627e-05,-0.00010808207,-0.0001155175,-4.7056976e-05,-0.00012929864,-5.3062045e-05,-4.0070503e-05,-0.00010476646,-0.00010900537,2.9055054e-05,-1.0603207e-05,1.9010339e-06,2.0230615e-05,0.00020036084,8.2622544e-05,-3.9121525e-05,2.4433748e-05,-5.751708e-05,-5.7877067e-05,0.00018130383,0.00015779931,-0.00036321545,-0.00019738862,-9.189123e-05,-4.664773e-07,0.00018760646,0.00017401703,-7.964984e-05,-7.524781e-05,-1.5779104e-05,-0.0002613419,-5.4218276e-06,0.00029688526,0.00024954608,-5.912897e-05,-5.2001567e-05,0.00029593412,-2.4925432e-05,-0.00018846219,-0.000112737784,5.425338e-05,-0.00012639459,0.00019673149,3.2169042e-05,7.019773e-05,-0.00023982175,6.9792163e-06,-0.00016480056,3.221851e-05,-0.00010983017,-6.606268e-06,-4.3794225e-05,7.258789e-05,-6.2385334e-06,-0.00026680573,4.5857625e-05,3.8028615e-05,-1.4586462e-05,0.00011711138,0.000108562555,1.651537e-05,-3.2032836e-05,5.5738958e-05,-0.00026312566,0.00013178423
>CY073732,-0.0113620255,-0.006753548,-0.0011738657,0.00097545993,-0.0007272891,-0.00034503973,0.0055063698,0.0003740771,-0.0008624579,6.7548506e-05,-0.00023459831,-0.00033104073,-2.131333e-05,-5.0722225e-05,-2.4295408e-05,0.00014854927,-0.00014339098,-0.00026448187,9.0158304e-05,-0.00010768461,-0.00022249966,-2.3739225e-05,0.0002547005,5.4080436e-05,-2.864166e-05,-0.0005318898,-0.00022877064,-1.6363098e-05,-3.641263e-05,-7.349644e-05,-7.84323e-05,0.00011786987,-8.2675004e-05,1.3845525e-05,-9.750954e-05,6.164244e-05,-7.980716e-05,2.3498384e-05,8.701752e-05,-0.00017858147,3.7609276e-05,-4.9071223e-06,-4.2403666e-05,-3.8982093e-05,6.36509e-05,1.4341869e-05,1.1582939e-05,-0.000110609195,0.00024303446,0.00018136692,-0.0001492384,7.358002e-05,-0.0002848027,-0.00023182509,-6.097119e-05,0.00014077325,-0.00036078764,-0.000103980434,-1.8917708e-05,-4.0938303e-05,7.210508e-05,0.00012508454,-7.242796e-05,3.0426874e-05,2.472397e-05,-0.0002095357,-0.00012725222,0.00020606756,0.00015832641,-4.8219732e-05,-0.000109054694,0.00021822068,-2.0362095e-05,-0.00012129341,-0.00013471513,1.6688608e-05,-0.000106803665,7.149437e-05,4.951421e-05,7.171155e-05,-0.00016793603,2.4408826e-05,-6.924565e-05,1.6463717e-05,-6.264256e-05,-1.2799005e-05,-8.349097e-06,1.9418942e-05,1.98161e-05,-0.00018015638,0.00012697418,-4.9553513e-05,5.918949e-05,0.000109912675,9.6222275e-06,7.015129e-05,-3.110399e-05,-3.003413e-05,-0.00027922363,0.00015649057
>CY062698,-0.011253738,-0.0064878426,-0.001287173,0.00083146174,-0.0005375,7.703409e-05,0.0055730166,0.00046320184,-0.00066845067,0.00016878832,-0.0001196211,-0.00014067459,1.843902e-05,-9.5182324e-05,-1.1513081e-05,0.00010930227,-5.9731363e-05,-9.399605e-05,0.00011648463,7.145997e-05,3.5214252e-05,-0.0002680562,0.00019301713,0.00021455895,0.0002774126,-0.00046444594,-7.994141e-05,4.4192275e-05,1.3576229e-05,-0.00012837382,0.00032741827,-0.00029522783,0.00029400652,0.00013856705,-5.4818658e-05,0.00025416882,4.1642434e-05,-0.0002129821,-7.3888616e-05,-1.1907686e-05,6.550707e-05,0.00013843208,-0.0002796257,4.3890926e-05,-7.619312e-05,3.884279e-05,-0.00012814804,0.00032736914,0.00020563223,2.4781013e-05,-0.00027260892,0.000154908,-0.00021985173,-7.193139e-05,-0.00012415338,-7.307195e-06,-0.0002418359,-6.7299115e-05,-0.00010248458,8.768964e-05,-7.7777535e-05,0.00030880087,-0.000506149,0.00015602149,6.636752e-07,-8.3929684e-05,0.0002241724,0.00017073998,-0.000101795864,-0.00014586281,-0.00027400858,3.5477467e-05,2.9343708e-05,-0.00013323857,-9.377199e-05,0.0002327242,-8.416717e-05,4.7666283e-05,0.00013163369,3.4699638e-06,-0.00017209743,-0.00016326334,-6.768915e-05,-0.00021693583,-0.00012548803,-7.948955e-05,-0.00016789095,9.467341e-05,-8.741845e-05,0.00014839401,0.0001780455,8.033663e-05,0.00025547502,-2.5175665e-05,3.7412454e-05,3.832953e-05,-0.0002633434,0.00016172213,-0.00016095526,2.8964282e-06
>CY062706,-0.011406343,-0.006446134,-0.0011760627,0.00090058235,-0.00059568865,-6.0297418e-05,0.005536191,0.0005047754,-0.00079861516,-5.4311702e-05,-5.890485e-05,-0.00023523053,4.8534665e-05,-0.00014485829,-1.963737e-05,0.00018159107,-0.00010870435,-0.00035949246,0.00024822776,-0.00019097632,5.7805162e-05,2.7062464e-05,0.00027430695,0.00026565845,1.7656947e-05,-0.0004763211,-0.00014469004,0.00016800301,-3.9390332e-05,-8.4176856e-05,2.4305647e-05,5.00378e-05,-0.00013626597,0.0002139605,9.084534e-05,0.00021019916,-0.000115213945,-0.00010493814,-0.00010188993,-1.467218e-06,4.8127367e-05,0.00017029826,8.647645e-05,1.3640148e-05,-8.4750056e-05,-5.9359286e-06,3.163768e-05,0.00015713947,0.00018624561,-5.6425797e-06,-0.0004572007,-2.0462781e-05,-0.00040107185,-0.00021859801,-0.00011179837,-0.0004002954,-0.0005357639,-0.00029993258,-5.769266e-06,-0.0001498892,-0.00015636622,0.00014643907,-0.0004950732,-2.0850773e-06,-5.1355422e-05,0.00027348203,0.00019626062,7.721408e-05,0.00018440529,6.669536e-05,9.0876725e-05,-7.6356744e-05,3.2113625e-05,-0.0002347842,-0.0003287642,1.969716e-05,0.00020427041,5.5222332e-05,-0.000110481305,0.00017222049,7.8861776e-05,-0.00011190796,-1.1144885e-05,0.00015210398,-0.00043512863,4.4512166e-05,-0.00021637364,9.552733e-05,-0.00023125781,-0.00020646043,-1.2340389e-05,-8.818437e-05,8.90389e-05,2.1423442e-05,9.702834e-05,0.00028208157,-6.834101e-05,-0.00011119372,0.00012415263,-6.145707e-05
>CY066942,-0.011463984,-0.0066765863,-0.0012006112,0.00089902355,-0.00058348157,-0.0003279705,0.005240135,0.00022835056,-0.00083791907,6.311645e-06,-0.00013222372,-0.00035727618,-6.257457e-05,-0.00020414164,8.3151375e-05,0.00014949348,-0.00040111577,-0.00021452484,1.7417005e-06,-3.200979e-05,-0.00020179743,-2.6569267e-05,0.00024378323,0.00013345234,0.00012987902,-0.0002623921,-0.00024990202,6.273037e-06,6.284667e-05,-1.6403294e-05,0.00012818915,3.5149293e-05,0.00013337035,0.00021355621,-0.00031823685,0.0002313874,0.00016547332,9.381383e-05,9.6469645e-05,-6.3728585e-05,-5.037587e-05,0.000139003,3.3233027e-05,2.3990777e-05,-0.0001380307,-0.00019822292,1.0987479e-05,7.520268e-06,9.833548e-05,0.00014250888,-1.367507e-05,4.834865e-05,-1.3784311e-05,-2.5807703e-06,1.5823292e-05,-6.608401e-05,6.7597625e-07,-0.00012085812,-0.00024343374,0.00010970242,6.4470964e-06,0.00022387158,5.288684e-05,-5.9359452e-05,0.00019771207,-0.00018431741,-5.0601924e-05,-0.00011647004,9.759454e-05,1.2159823e-05,-0.00015889246,0.00015777205,0.0001582193,-0.0002981976,8.942367e-05,-0.00014915461,-0.0001911712,0.00010893923,0.00022136365,5.679718e-06,-1.2304965e-05,1.1554456e-05,0.00020735442,1.35061255e-05,-0.00014780519,-4.6377586e-06,-1.9993096e-05,-0.00011672998,3.6785218e-07,0.00011238289,0.00016850649,-9.684323e-05,9.108538e-06,0.00021528083,8.793367e-07,-0.00011978243,-5.1111965e-05,3.901129e-05,2.8452076e-05,4.079937e-05
>CY066950,-0.011477323,-0.006861906,-0.0011254927,0.0009802057,-0.00061033235,-0.00024068888,0.0053118947,0.0003283463,-0.00081885385,7.0203474e-05,1.3734945e-05,-0.00019687199,0.00011215002,-2.573489e-05,2.1708433e-05,0.00013960412,-0.00018970798,-0.0002787258,-0.00016842113,-2.6922444e-05,-3.6676603e-05,2.7539785e-05,-5.218808e-05,-3.090118e-05,5.719692e-05,-0.00057846634,-0.0001698364,0.00021579824,-0.00020639962,-6.1080966e-05,-0.00011368399,1.0766125e-05,-8.74407e-05,3.3724493e-05,-0.0003059661,-3.1552954e-05,5.5542543e-05,-2.5602236e-05,8.928822e-05,-0.00016026164,-0.00026097856,5.6425157e-05,-9.4226205e-05,-2.256417e-05,-1.8152276e-05,-0.000103053295,-0.00010143877,-1.1747675e-06,0.00017163371,5.0468996e-05,-0.00010531727,0.000113409624,-0.00014164565,-0.0001959328,-4.963493e-05,0.00018929831,-0.00028173535,2.928387e-05,-8.422554e-05,0.00013640113,0.00023639105,0.00024302928,-0.00010301559,8.9723935e-06,0.000117540345,-0.00015434701,9.665926e-05,0.00013942795,-5.4067175e-05,4.6443554e-05,-5.250044e-05,0.00013691248,0.00015692016,-0.00022415991,0.00017827918,4.992524e-05,-0.00011641553,9.135211e-05,6.199161e-05,7.935116e-05,-8.9294896e-05,-8.592514e-05,9.832429e-05,-9.307019e-05,-5.620956e-05,-7.2589035e-05,-9.7377764e-05,-6.948769e-05,-4.446271e-05,-4.0522704e-05,-2.2407454e-05,-1.9726533e-05,9.603639e-05,0.00011473621,0.00028584787,-0.00022530791,-2.2098953e-05,-9.6609845e-05,-0.00010921184,3.0982716e-05
>CY066958,-0.011344321,-0.006887209,-0.0012111753,0.00095816806,-0.0006013092,-0.0003248295,0.005661914,0.0004522751,-0.00090597005,-1.4443223e-06,-0.00021611778,-0.0002947439,8.135601e-05,-5.6404406e-05,-2.6216385e-05,0.0001626273,-0.00012241196,-0.00015076167,4.132452e-05,-0.00019893948,-0.0002139615,-0.00017201265,0.00025469298,9.538945e-05,-3.632085e-05,-0.00051287253,-0.0002727149,2.114412e-05,-4.7981604e-05,-0.00010453616,0.0001648241,-8.579641e-05,-0.0001472096,0.00010858387,-4.575956e-06,2.39891e-05,-0.00010079367,-3.377101e-05,-8.4703206e-05,-0.000135756,3.2980377e-05,0.00020311738,-0.00011513853,-6.9705254e-07,6.571755e-05,-4.864948e-05,-0.00013448927,0.00019915964,0.00013930174,7.057404e-05,-0.00011311657,2.470235e-05,-0.00021790338,-9.294367e-05,-0.0002242078,3.736843e-05,-0.00030862042,-0.00012910124,1.4651055e-05,2.6163896e-05,0.00013250012,0.0003566748,-0.00012684103,7.854232e-05,0.0001246061,-0.00010957587,3.6584468e-05,-4.554943e-05,5.4032742e-05,-8.181004e-05,-0.00018386851,9.828606e-05,-0.00010982542,-0.00021989612,-0.00018294594,-0.0002985824,-9.760896e-05,-5.879475e-05,-4.275843e-05,0.00018042396,0.00013568319,1.8077337e-05,-9.1308e-06,-3.0690288e-05,1.8604389e-05,3.5294597e-05,-7.127221e-05,0.00016479437,-0.00012507454,7.1400056e-05,-9.6120806e-05,0.00014727995,0.000116260795,0.00021135165,6.5534456e-05,-0.00015202866,-0.00031733545,-1.5575459e-07,-0.00026119425,0.00026716926
