segment,n_cluster,n_cluster_raw,unclustered,H_unmatch,N_unmatch,epsilon,dbcv,explained_var
1,279,279,0,110,116,0.041,0.8596180522557083,0.8589081764221191
2,242,242,0,92,93,0.052,0.8376753498027961,0.8488631248474121
3,265,265,0,92,94,0.06,0.8970096740179934,0.8646213412284851
4,261,261,0,2,103,0.049,0.8914727078739485,0.8463819026947021
5,283,283,0,87,88,0.094,0.8676926509583713,0.8819647431373596
6,255,255,0,85,4,0.061,0.9194827985753509,0.855462908744812
7,462,463,0,103,115,0.05,0.8689361188315994,0.903182864189148
8,364,364,0,111,111,0.079,0.8678191432925508,0.8994523286819458
