cluster,,215,55,58,88,51,47,238
supercluster,,156,152,151,155,153,154,150
cluster,supercluster,,,,,,,
215,156,0.0,0.9135338345864662,0.9154135338345863,0.6616541353383459,0.9154135338345863,0.9116541353383459,0.9868421052631576
55,152,0.9135338345864662,0.0,0.00563909774436108,0.9586466165413533,0.00563909774436108,0.09962406015037588,0.7575187969924809
58,151,0.9154135338345863,0.00563909774436108,0.0,0.956766917293233,0.003759398496240474,0.10150375939849611,0.7593984962406015
88,155,0.6616541353383459,0.9586466165413533,0.956766917293233,0.0,0.956766917293233,0.9605263157894736,1.0
51,153,0.9154135338345863,0.00563909774436108,0.003759398496240474,0.956766917293233,0.0,0.10150375939849611,0.763157894736842
47,154,0.9116541353383459,0.09962406015037588,0.10150375939849611,0.9605263157894736,0.10150375939849611,0.0,0.7424812030075186
238,150,0.9868421052631576,0.7575187969924809,0.7593984962406015,1.0,0.763157894736842,0.7424812030075186,0.0
