segment,cluster,size
4,176,2752
4,237,1679
6,164,1536
6,230,1389
6,86,1276
4,60,1197
6,89,1105
6,225,1055
4,201,964
6,204,932
6,56,929
6,64,928
4,100,910
6,26,884
6,11,856
6,214,842
4,219,791
4,105,766
4,133,750
6,232,749
