accession,H7,H10,H12
>MK928228,0.8651708105922783,0.8633515261774816,1.0
>KF259196,0.7265959846605008,0.3435596661403113,1.0
>KF259195,0.7262065854758684,0.3520523229589535,1.0
>CY167267,0.8792071030353085,0.8631013834400164,1.0
>CY133381,0.8791186161449754,0.8663509060955521,1.0
>MG280044,0.8777983158759498,0.8665023618812898,1.0
>CY087832,0.7287477148080438,0.38414076782449724,1.0
>CY014644,0.7218763895064473,0.38928412627834597,1.0
>CY014636,1.0,0.9847048685911243,0.36600603188280906
>CY029873,1.0,0.9910402097902096,0.3581730769230768
>GQ907334,1.0,0.974758560140474,0.35535557506584725
>GQ907342,1.0,0.9750328515111696,0.35567236092860277
>MF575293,0.7214742882365923,0.3398808210108144,1.0
>MF682776,0.7334367383115443,0.3325947263461112,1.0
>MF959967,0.7337317397078353,0.3328906595838867,1.0
>CY087760,0.7287477148080438,0.38414076782449724,1.0
>CY130102,0.5477430555555556,0.744140625,1.0
>MK071380,0.7142857142857141,0.36958959407938996,1.0
>MK071396,0.7185185185185184,0.374635241301908,1.0
>CY006033,0.5474329178111136,0.7411789562645258,1.0
>JX500443,0.7349477893801377,0.357253943568096,1.0
>CY098540,0.5551265551265552,0.7224367224367224,1.0
>GQ290464,0.7275583482944344,0.3536804308797128,1.0
>CY185887,0.5477430555555556,0.744140625,1.0
>CY006034,0.5479105107640354,0.7414520894892358,1.0
>CY006010,0.5474329178111136,0.7411789562645258,1.0
>GQ907350,1.0,0.9790849673202615,0.37015250544662315
>KC876691,1.0,0.9651288715616203,0.3530431015811133
>MH498655,0.7195945945945945,0.3907657657657657,1.0
>MH498733,0.7195945945945945,0.3907657657657657,1.0
>MH498637,0.7183920952167079,0.3905232427576914,1.0
