chord,cosine
0.623443354284583,0.19434080691603994
0.4643181884936695,0.10779568611541068
0.6123472521380646,0.18748456650861345
0.43051863248440814,0.09267314726846454
0.5731600381407659,0.16425622093743453
0.5682730286055097,0.16146711832439253
0.3980790551018397,0.07923347296007643
0.6248768305170432,0.19523553052103138
0.4832619212612287,0.11677104406403782
0.4671434130718966,0.10911149194753622
0.010039486997171472,5.0395691846394364e-05
0.6243970041342344,0.19493579999468813
0.46050473020407773,0.10603229317147767
0.4305184708045823,0.09267307328768803
0.3935990725142179,0.07746011509451167
0.5676645334087927,0.16112151300238464
0.6107686380985061,0.18651917027094345
0.5866417713937804,0.17207427650477825
0.6084069004072622,0.1850794936794058
0.562236197246368,0.1580547799013704
