segment,n_cluster,distance,x_normalized,y_normalized,x_difference,y_difference
1,1,0.7055206195657803,0.0,0.0,0.0,0.0
1,2,0.6914646421369148,0.002004008016032064,0.015848834119262523,0.002004008016032064,0.013844826103230458
1,3,0.6561378583037121,0.004008016032064128,0.031136651088595757,0.004008016032064128,0.027128635056531628
1,4,0.624420844292282,0.006012024048096192,0.04587875086029647,0.006012024048096192,0.03986672681220028
1,5,0.6224289020484169,0.008016032064128256,0.060090154305455834,0.008016032064128256,0.052074122241327576
1,6,0.5872215486140603,0.01002004008016032,0.07378560658661615,0.01002004008016032,0.06376556650645583
1,7,0.5788642318211973,0.012024048096192385,0.08697958050544952,0.012024048096192385,0.07495553240925713
1,8,0.5565821134666632,0.014028056112224449,0.09968627982554423,0.014028056112224449,0.08565822371331978
1,9,0.5529350050931426,0.01603206412825651,0.11191964257038656,0.01603206412825651,0.09588757844213004
1,10,0.5458531730171576,0.018036072144288578,0.1236933442966256,0.018036072144288578,0.10565727215233701
1,11,0.5401094700683368,0.02004008016032064,0.13502080134270755,0.02004008016032064,0.11498072118238692
1,12,0.5379432820043676,0.022044088176352707,0.14591517405296606,0.022044088176352707,0.12387108587661336
1,13,0.5222783611429407,0.02404809619238477,0.15638936997725805,0.02404809619238477,0.1323412737848733
1,14,0.5120348625892225,0.026052104208416832,0.16645604704622896,0.026052104208416832,0.14040394283781213
1,15,0.5117106917475529,0.028056112224448898,0.1761276167222967,0.028056112224448898,0.1480715044978478
1,16,0.5102603922850985,0.03006012024048096,0.18541624712644034,0.03006012024048096,0.15535612688595937
1,17,0.510141106559623,0.03206412825651302,0.19433386614088277,0.03206412825651302,0.16226973788436974
1,18,0.5088866428997263,0.03406813627254509,0.20289216448775005,0.03406813627254509,0.16882402821520495
1,19,0.5084619836969909,0.036072144288577156,0.2111025987837999,0.036072144288577156,0.17503045449522273
1,20,0.5047780861146324,0.03807615230460922,0.21897639457130247,0.03807615230460922,0.18090024226669324
