segment,cluster,size
4,35,18572
4,5,12298
6,-1,12046
4,7,2614
4,2,2581
4,46,2326
4,25,1569
4,31,1436
4,0,1372
4,13,1304
4,24,1291
4,22,1248
4,15,935
4,17,900
4,34,802
4,3,783
4,42,624
4,6,600
4,1,537
4,11,527
