,cluster,supercluster,subtype
0,6,0,H1
1,13,0,H1
2,12,0,H1
3,5,0,H1
4,3,0,H1
5,1,1,H1
6,0,2,H2
7,41,3,H3
8,44,3,H3
9,51,3,H3
10,52,3,H3
11,54,3,H3
12,53,3,H3
13,50,3,H3
14,49,3,H3
15,40,3,H3
16,39,3,H3
17,32,3,H3
18,31,3,H3
19,30,3,H3
