segment,n_cluster,n_cluster_raw,n_cluster_norm,unclustered,H_unmatch,N_unmatch,epsilon
1,30,65,0.1282565130260521,29,21,22,0.25812601377998085
2,38,63,0.12424849699398798,17,20,20,0.2877836507284192
3,42,72,0.14228456913827656,20,21,21,0.30733228420828534
4,54,66,0.13026052104208416,6,2,41,0.19116988941246163
5,33,66,0.13026052104208416,25,19,21,0.28451320258393975
6,45,58,0.11422845691382766,9,31,3,0.2150081526358327
7,42,72,0.14228456913827656,22,21,22,0.3485399033924902
8,37,61,0.12024048096192384,20,18,19,0.31184566303015926
