segment,n_cluster,distance,x_normalized,y_normalized,x_difference,y_difference
4,1,0.8068673847769163,0.0,0.0,0.0,0.0
4,2,0.6928615537725856,0.002004008016032,0.0327944769259292,0.002004008016032,0.0307904689098972
4,3,0.6786588550152836,0.0040080160320641,0.0645789910501932,0.0040080160320641,0.0605709750181291
4,4,0.6355034731799301,0.0060120240480961,0.0953776017101513,0.0060120240480961,0.0893655776620551
4,5,0.5687251285263597,0.0080160320641282,0.1252139458575953,0.0080160320641282,0.1171979137934671
4,6,0.5241480960541027,0.0100200400801603,0.1541112432374317,0.0100200400801603,0.1440912031572714
4,7,0.5109327039202854,0.0120240480961923,0.1820923015265027,0.0120240480961923,0.1700682534303103
4,8,0.4871127418547482,0.0140280561122244,0.2091795214326948,0.0140280561122244,0.1951514653204703
4,9,0.4823589698056078,0.0160320641282565,0.2353949017544767,0.0160320641282565,0.2193628376262202
4,10,0.4820406117306792,0.0180360721442885,0.2607600444010172,0.0180360721442885,0.2427239722567286
4,11,0.4712720310739309,0.0200400801603206,0.2852961593730229,0.0200400801603206,0.2652560792127022
4,12,0.4438961897365514,0.0220440881763527,0.3090240697044489,0.0220440881763527,0.2869799815280962
4,13,0.4267925576985141,0.0240480961923847,0.3319642163652209,0.0240480961923847,0.3079161201728361
4,14,0.4233598350895559,0.0260521042084168,0.3541366631251194,0.0260521042084168,0.3280845589167025
4,15,0.4129538034649108,0.0280561122244488,0.3755611013789707,0.0280561122244488,0.3475049891545217
4,16,0.4096355386899316,0.0300601202404809,0.3962568549332894,0.0300601202404809,0.3661967346928085
4,17,0.4076548393954989,0.032064128256513,0.4162428847545203,0.032064128256513,0.3841787564980073
4,18,0.3958994461669167,0.034068136272545,0.4355377936790218,0.034068136272545,0.4014696574064767
4,19,0.3952012258142615,0.0360721442885771,0.4541598310849422,0.0360721442885771,0.418087686796365
4,20,0.3823368282387602,0.0380761523046092,0.4721268975261292,0.0380761523046092,0.43405074522152
