segment,epsilon,DBCV
1,0.0,0.4042832800554337
1,0.1,0.08669818130704032
1,0.2,0.13915839815557982
1,0.0,0.4042832800554337
1,0.01,0.34188471396429143
1,0.02,0.235706598804238
1,0.0,0.4042832800554337
1,0.001,0.4042832800554337
1,0.002,0.40366002722339633
1,0.0,0.4042832800554337
1,0.0001,0.4042832800554337
1,0.0002,0.4042832800554337
1,0.0,0.4042832800554337
1,1e-05,0.4042832800554337
1,2e-05,0.4042832800554337
1,0.0,0.4042832800554337
1,1e-06,0.4042832800554337
1,2e-06,0.4042832800554337
1,0.0,0.4042832800554337
1,1e-07,0.4042832800554337
1,2e-07,0.4042832800554337
1,0.0,0.4042832800554337
1,1e-08,0.4042832800554337
1,2e-08,0.4042832800554337
1,0.0,0.4042832800554337
1,0.0,0.4042832800554337
2,0.0,0.4167381286676164
2,0.1,0.07644786568385867
2,0.2,0.08409553060736527
2,0.0,0.4167381286676164
2,0.01,0.366358876516895
2,0.02,0.2720325809061936
2,0.0,0.4167381286676164
2,0.001,0.4151550043512042
2,0.002,0.4142292347361797
2,0.0,0.4167381286676164
2,0.0001,0.4167381286676164
2,0.0002,0.4167381286676164
2,0.0,0.4167381286676164
2,1e-05,0.4167381286676164
2,2e-05,0.4167381286676164
2,0.0,0.4167381286676164
2,1e-06,0.4167381286676164
2,2e-06,0.4167381286676164
2,0.0,0.4167381286676164
2,1e-07,0.4167381286676164
2,2e-07,0.4167381286676164
2,0.0,0.4167381286676164
2,1e-08,0.4167381286676164
2,2e-08,0.4167381286676164
2,0.0,0.4167381286676164
2,0.0,0.4167381286676164
3,0.0,0.4219091949127449
3,0.1,0.08560392679959372
3,0.2,0.21625972485109554
3,0.0,0.4219091949127449
3,0.01,0.351263450833179
3,0.02,0.2461856070338198
3,0.0,0.4219091949127449
3,0.001,0.4219091949127449
3,0.002,0.4219091949127449
3,0.0,0.4219091949127449
3,0.0001,0.4219091949127449
3,0.0002,0.4219091949127449
3,0.0,0.4219091949127449
3,1e-05,0.4219091949127449
3,2e-05,0.4219091949127449
3,0.0,0.4219091949127449
3,1e-06,0.4219091949127449
3,2e-06,0.4219091949127449
3,0.0,0.4219091949127449
3,1e-07,0.4219091949127449
3,2e-07,0.4219091949127449
3,0.0,0.4219091949127449
3,1e-08,0.4219091949127449
3,2e-08,0.4219091949127449
3,0.0,0.4219091949127449
3,0.0,0.4219091949127449
4,0.0,0.4183861760430818
4,0.1,0.27797835109045765
4,0.2,0.5717530193199829
4,0.3,0.5159460503605064
4,0.4,0.3485080503212499
4,0.11,0.2901578626698322
4,0.12,0.3107579668929684
4,0.13,0.32032716570159747
4,0.14,0.22556713067638984
4,0.15,0.44401255749302626
4,0.16,0.5456052042809201
4,0.17,0.5657716049681539
4,0.18,0.5692005494631152
4,0.19,0.5657796911264471
4,0.2,0.5717530193199829
4,0.21,0.5045320343428935
4,0.22,0.5062272405767924
4,0.191,0.5711206233060808
4,0.192,0.5710713494181899
4,0.193,0.5710713494181899
4,0.194,0.5711710146301257
4,0.195,0.5713937170745369
4,0.196,0.570303014828162
4,0.197,0.570303014828162
4,0.198,0.570303014828162
4,0.1951,0.5713937170745369
5,0.0,0.4790122850812137
5,0.1,0.0664025515023064
5,0.2,0.28966748791865626
5,0.0,0.4790122850812137
5,0.01,0.37264062714005575
5,0.02,0.2605803230136725
5,0.0,0.4790122850812137
5,0.001,0.47897190680092033
5,0.002,0.47065878410610673
5,0.0,0.4790122850812137
5,0.0001,0.47902830777233163
5,0.0002,0.47902830777233163
5,0.0003,0.47902830777233163
5,1e-05,0.47902830777233163
5,2e-05,0.47902830777233163
5,3e-05,0.47902830777233163
5,9.1e-05,0.47902830777233163
5,9.2e-05,0.47902830777233163
5,9.3e-05,0.47902830777233163
5,9.91e-05,0.47902830777233163
5,9.92e-05,0.47902830777233163
5,9.93e-05,0.47902830777233163
5,9.991e-05,0.47902830777233163
5,9.992e-05,0.47902830777233163
5,9.993e-05,0.47902830777233163
5,9.9991e-05,0.47902830777233163
6,0.0,0.4546953758800528
6,0.1,0.17326502647278275
6,0.2,0.32842431027788516
6,0.0,0.4546953758800528
6,0.01,0.3170445768315258
6,0.02,0.1937423257318736
6,0.0,0.4546953758800528
6,0.001,0.4491226491277434
6,0.002,0.4361581586759773
6,0.0,0.4546953758800528
6,0.0001,0.4547026321516827
6,0.0002,0.4547026321516827
6,0.0003,0.45425476875081644
6,1e-05,0.4547026321516827
6,2e-05,0.4547026321516827
6,3e-05,0.4547026321516827
6,9.1e-05,0.4547026321516827
6,9.2e-05,0.4547026321516827
6,9.3e-05,0.4547026321516827
6,9.91e-05,0.4547026321516827
6,9.92e-05,0.4547026321516827
6,9.93e-05,0.4547026321516827
6,9.991e-05,0.4547026321516827
6,9.992e-05,0.4547026321516827
