segment,cluster,size
6,43,21984
7,0,20472
8,4,20396
1,0,20263
3,1,20194
2,21,19011
4,33,18572
5,0,18529
7,21,15993
5,19,14077
3,15,13872
1,9,12911
8,17,12860
2,0,12738
1,15,12456
4,6,12298
6,7,12229
8,35,10860
2,19,9003
5,16,8526
