chord,cosine
1.6952687750953517,1.4369681754532513
1.8124499665975686,1.6424875368086491
1.124034506406362,0.6317267577079437
1.7950939965410406,1.6111812775490026
0.8456298456438445,0.3575449010494507
0.789828261949122,0.3119143294331139
0.5256384698290101,0.13814791035423757
1.6904593006646105,1.4288262314750508
1.8127348483989794,1.6430037241578914
1.788378271876015,1.5991482896180247
1.4060826725033526,0.9885342868920155
1.5456900131970757,1.194578734707102
1.610335723141025,1.296590499140125
1.5992122500919945,1.2787398284164666
1.4279240654331316,1.0194835192371732
1.7805993975110592,1.5852673851374837
1.1621780141217815,0.6753289319608979
0.7538142562570327,0.2841180089422073
0.8891897090800499,0.39532921483786276
1.7837677520830568,1.5909137964916054
